"Geslacht","Leeftijd","Onderwijssoort","Uitkeringen","Startkwalificatie op peilmoment","Peilmoment","Perioden","Schoolverlaters (aantal)","Voortijdig schoolverlaters (aantal)","Schoolverlaters met startkwalificatie (aantal)"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","2.500","2.500",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Zonder startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","Direct na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Totaal één uitkering","Startkwalificatie onbekend","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","Direct na verlaten onderwijs","2022/'23","460","240","220"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Totaal schoolverlaters","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","Direct na verlaten onderwijs","2022/'23","220","","220"
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","2 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","3 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","4 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","5 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Met startkwalificatie","10 jaar na verlaten onderwijs","2022/'23","","",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Zonder startkwalificatie","Direct na verlaten onderwijs","2022/'23","240","240",""
"Totaal schoolverlaters","Totaal schoolverlaters","Totaal schoolverlaters","Alleen arbeidsongeschiktheidsuitkering","Zonder startkwalificatie","1 jaar na verlaten onderwijs","2022/'23","","",""
"Bron: CBS."
